valid_index	id	parent	val_bpb	vs_baseline	parent_val	vs_parent	global_best_so_far
1	exp_000001	exp_000000	2.083135	0.19749299999999992	1.885642	0.19749299999999992	1.885642
2	exp_000002	exp_000001	2.00414	0.11849799999999999	2.083135	-0.07899499999999993	1.885642
3	exp_000003	exp_000001	2.002502	0.11685999999999974	2.083135	-0.08063300000000018	1.885642
4	exp_000004	exp_000001	2.077139	0.1914969999999998	2.083135	-0.005996000000000112	1.885642
5	exp_000005	exp_000000	2.003181	0.11753900000000006	1.885642	0.11753900000000006	1.885642
6	exp_000006	exp_000002	2.007076	0.12143400000000004	2.00414	0.0029360000000000497	1.885642
7	exp_000007	exp_000003	2.012509	0.12686700000000006	2.002502	0.010007000000000321	1.885642
8	exp_000008	exp_000007	2.021893	0.1362509999999999	2.012509	0.009383999999999837	1.885642
9	exp_000009	exp_000002	2.007666	0.12202399999999991	2.00414	0.003525999999999918	1.885642
10	exp_000010	exp_000008	2.038977	0.153335	2.021893	0.0170840000000001	1.885642
11	exp_000011	exp_000004	2.00463	0.1189880000000001	2.077139	-0.07250899999999971	1.885642
12	exp_000012	exp_000005	2.00294	0.11729800000000012	2.003181	-0.0002409999999999357	1.885642
13	exp_000013	exp_000009	2.017869	0.1322270000000001	2.007666	0.010203000000000184	1.885642
14	exp_000014	exp_000012	2.006898	0.12125600000000003	2.00294	0.003957999999999906	1.885642
15	exp_000015	exp_000011	2.006191	0.1205489999999998	2.00463	0.0015609999999997015	1.885642
16	exp_000016	exp_000004	2.008598	0.12295600000000007	2.077139	-0.06854099999999974	1.885642
17	exp_000017	exp_000012	2.008339	0.12269699999999983	2.00294	0.00539899999999971	1.885642
18	exp_000018	exp_000016	2.016971	0.1313289999999998	2.008598	0.008372999999999742	1.885642
19	exp_000019	exp_000007	2.018828	0.13318600000000003	2.012509	0.0063189999999999635	1.885642
20	exp_000020	exp_000012	2.007814	0.12217200000000017	2.00294	0.004874000000000045	1.885642
21	exp_000021	exp_000014	2.017409	0.13176699999999975	2.006898	0.010510999999999715	1.885642
22	exp_000022	exp_000015	2.007734	0.12209200000000009	2.006191	0.0015430000000002941	1.885642
23	exp_000023	exp_000021	2.027472	0.1418299999999999	2.017409	0.010063000000000155	1.885642
24	exp_000024	exp_000020	2.016727	0.1310849999999999	2.007814	0.008912999999999727	1.885642
25	exp_000025	exp_000013	2.019711	0.134069	2.017869	0.0018419999999998993	1.885642
26	exp_000026	exp_000019	2.007479	0.12183699999999997	2.018828	-0.011349000000000053	1.885642
27	exp_000027	exp_000018	2.021557	0.135915	2.016971	0.004586000000000201	1.885642
28	exp_000028	exp_000001	2.003551	0.11790899999999982	2.083135	-0.0795840000000001	1.885642
29	exp_000029	exp_000014	2.016139	0.13049699999999986	2.006898	0.009240999999999833	1.885642
30	exp_000030	exp_000010	2.022813	0.13717100000000015	2.038977	-0.016163999999999845	1.885642
