valid_index	id	status	parents	val_bpb	vs_baseline	best_parent_val	vs_best_parent	best_so_far
1	exp_000001	finished	exp_000000	1.879146	-0.006496000000000057	1.885642	-0.006496000000000057	1.879146
2	exp_000003	finished	exp_000001	1.888628	0.002985999999999933	1.879146	0.00948199999999999	1.879146
3	exp_000004	finished	exp_000003	1.889732	0.004089999999999927	1.888628	0.0011039999999999939	1.879146
4	exp_000005	finished	exp_000000	2.005382	0.11973999999999996	1.885642	0.11973999999999996	1.879146
5	exp_000006	finished	exp_000001	1.886228	0.0005859999999999754	1.879146	0.007082000000000033	1.879146
6	exp_000007	finished	exp_000004	1.891008	0.005365999999999982	1.889732	0.0012760000000000549	1.879146
7	exp_000008	finished	exp_000000	1.886335	0.0006930000000000547	1.885642	0.0006930000000000547	1.879146
8	exp_000009	finished	exp_000004	1.890555	0.004912999999999945	1.889732	0.0008230000000000182	1.879146
9	exp_000010	finished	exp_000006	1.885553	-8.900000000000574e-05	1.886228	-0.0006749999999999812	1.879146
10	exp_000011	finished	exp_000007	1.891843	0.006200999999999901	1.891008	0.0008349999999999191	1.879146
11	exp_000012	finished	exp_000006	1.885344	-0.0002980000000001315	1.886228	-0.0008840000000001069	1.879146
12	exp_000013	finished	exp_000001	1.889874	0.0042320000000000135	1.879146	0.01072800000000007	1.879146
13	exp_000014	finished	exp_000007	1.892304	0.006661999999999946	1.891008	0.0012959999999999638	1.879146
14	exp_000015	finished	exp_000001,exp_000007	1.889254	0.0036119999999999486	1.879146	0.010108000000000006	1.879146
15	exp_000016	finished	exp_000008	1.886365	0.0007230000000000292	1.886335	2.999999999997449e-05	1.879146
16	exp_000017	finished	exp_000009,exp_000012	1.885868	0.0002260000000000595	1.885344	0.000524000000000191	1.879146
17	exp_000018	finished	exp_000001,exp_000005	2.003266	0.11762399999999995	1.879146	0.12412000000000001	1.879146
18	exp_000019	finished	exp_000005,exp_000014	2.005477	0.11983499999999991	1.892304	0.11317299999999997	1.879146
19	exp_000020	finished	exp_000014	1.893809	0.008167000000000035	1.892304	0.0015050000000000896	1.879146
20	exp_000021	finished	exp_000017,exp_000018	2.001804	0.11616199999999988	1.885868	0.11593599999999982	1.879146
21	exp_000022	finished	exp_000011,exp_000018	2.002156	0.11651399999999978	1.891843	0.11031299999999988	1.879146
22	exp_000023	finished	exp_000011,exp_000016	1.888277	0.002634999999999943	1.886365	0.0019119999999999138	1.879146
23	exp_000026	finished	exp_000010,exp_000015	1.90685	0.021207999999999894	1.885553	0.0212969999999999	1.879146
24	exp_000027	finished	exp_000008,exp_000011	1.889833	0.004191000000000056	1.886335	0.003498000000000001	1.879146
25	exp_000028	finished	exp_000020,exp_000021	1.999576	0.11393399999999998	1.893809	0.10576699999999994	1.879146
26	exp_000029	finished	exp_000007,exp_000008	1.887061	0.001419000000000059	1.886335	0.0007260000000000044	1.879146
27	exp_000030	finished	exp_000007,exp_000023	1.888351	0.0027089999999998504	1.888277	7.399999999990747e-05	1.879146
28	exp_000031	finished	exp_000006,exp_000014	1.889794	0.0041519999999999335	1.886228	0.003565999999999958	1.879146
29	exp_000032	finished	exp_000007,exp_000012	1.88697	0.0013279999999999959	1.885344	0.0016260000000001273	1.879146
30	exp_000033	finished	exp_000000,exp_000031	1.906846	0.021204	1.885642	0.021204	1.879146
