candidate_index	candidate_id	operation	parents	parent_val_bpb	best_parent_val_bpb	val_bpb	delta_best_parent	beat_best_parent	delta_baseline	beat_baseline	training_seconds	total_seconds	num_steps
1	exp_000001	expand	exp_000000	1.885642	1.885642	1.999721	0.11407900000000004	False	0.11407900000000004	False	300.6	720.6	23
2	exp_000002	expand	exp_000000	1.885642	1.885642	1.88383	-0.0018120000000001468	True	-0.0018120000000001468	True	300.2	716.6	23
3	exp_000004	merge	exp_000002,exp_000001	1.883830,1.999721	1.88383	1.996337	0.11250700000000013	False	0.11069499999999999	False	300.2	717.3	23
4	exp_000005	expand	exp_000000	1.885642	1.885642	1.888499	0.0028569999999998874	False	0.0028569999999998874	False	304.2	725.2	23
5	exp_000006	expand	exp_000000	1.885642	1.885642	1.903565	0.01792299999999991	False	0.01792299999999991	False	306.0	821.3	20
6	exp_000007	merge	exp_000006,exp_000005	1.903565,1.888499	1.888499	1.895448	0.006949000000000094	False	0.009805999999999981	False	309.0	759.0	22
7	exp_000008	expand	exp_000007	1.895448	1.895448	1.885344	-0.010104000000000113	True	-0.0002980000000001315	True	312.1	718.9	24
8	exp_000009	expand	exp_000005	1.888499	1.888499	1.87684	-0.011658999999999864	True	-0.008801999999999977	True	323.8	737.1	24
9	exp_000010	merge	exp_000008,exp_000009	1.885344,1.876840	1.87684	1.874956	-0.0018839999999999968	True	-0.010685999999999973	True	311.0	715.5	24
10	exp_000011	expand	exp_000009	1.876840	1.87684	1.878821	0.0019810000000000105	False	-0.006820999999999966	True	300.8	715.7	23
11	exp_000012	expand	exp_000005	1.888499	1.888499	1.900705	0.012206000000000161	False	0.015063000000000049	False	312.8	697.9	25
12	exp_000013	merge	exp_000007,exp_000010	1.895448,1.874956	1.874956	1.874216	-0.0007399999999999629	True	-0.011425999999999936	True	309.6	713.3	24
13	exp_000014	expand	exp_000009	1.876840	1.87684	1.879023	0.002183000000000046	False	-0.0066189999999999305	True	303.5	724.0	23
14	exp_000015	expand	exp_000010	1.874956	1.874956	1.876084	0.0011280000000000179	False	-0.009557999999999955	True	314.6	722.0	24
15	exp_000016	expand	exp_000010	1.874956	1.874956	1.904337	0.02938099999999988	False	0.018694999999999906	False	315.0	731.8	24
16	exp_000017	expand	exp_000015	1.876084	1.876084	1.862045	-0.014039000000000135	True	-0.02359700000000009	True	315.5	723.3	24
17	exp_000018	expand	exp_000012	1.900705	1.900705	1.954834	0.05412899999999987	False	0.06919199999999992	False	319.2	1298.6	16
18	exp_000019	expand	exp_000015	1.876084	1.876084	1.878206	0.0021219999999999573	False	-0.007435999999999998	True	314.7	723.6	24
19	exp_000020	merge	exp_000013,exp_000017	1.874216,1.862045	1.862045	1.860227	-0.0018179999999998753	True	-0.025414999999999965	True	312.6	719.5	24
20	exp_000021	expand	exp_000020	1.860227	1.860227	1.8626	0.0023729999999999585	False	-0.023042000000000007	True	309.5	713.7	24
21	exp_000022	merge	exp_000020,exp_000019	1.860227,1.878206	1.860227	1.869932	0.009704999999999853	False	-0.015710000000000113	True	301.9	725.8	23
22	exp_000023	expand	exp_000021	1.862600	1.8626	1.86707	0.004469999999999974	False	-0.018572000000000033	True	322.3	740.3	24
23	exp_000024	merge	exp_000017,exp_000011	1.862045,1.878821	1.862045	1.861401	-0.0006439999999998669	True	-0.024240999999999957	True	319.9	734.6	24
24	exp_000025	expand	exp_000022	1.869932	1.869932	1.866705	-0.003226999999999869	True	-0.01893699999999998	True	317.4	730.7	24
25	exp_000026	merge	exp_000022,exp_000017	1.869932,1.862045	1.862045	1.869389	0.007344000000000017	False	-0.016253000000000073	True	321.8	737.2	24
26	exp_000027	expand	exp_000023	1.867070	1.86707	1.855929	-0.011141000000000068	True	-0.0297130000000001	True	312.4	726.1	24
27	exp_000028	merge	exp_000023,exp_000019	1.867070,1.878206	1.86707	1.883233	0.016162999999999927	False	-0.0024090000000001055	True	322.0	738.8	24
28	exp_000029	expand	exp_000027	1.855929	1.855929	1.873828	0.01789900000000011	False	-0.011813999999999991	True	318.5	756.4	23
29	exp_000030	merge	exp_000027,exp_000021	1.855929,1.862600	1.855929	1.86051	0.004581000000000168	False	-0.025131999999999932	True	300.3	721.5	23
30	exp_000031	expand	exp_000011	1.878821	1.878821	1.883148	0.00432699999999997	False	-0.0024939999999999962	True	312.7	747.7	23
