candidate_index	candidate_id	operation	parents	depth	val_bpb	best_parent_val_bpb	child_minus_best_parent	parent_relative_improvement	beat_recorded_baseline	beat_best_parent	mechanism_family	duplication_class	success_origin	ancestry
1	exp_000001	expand	exp_000000	1	1.884876	1.906318	-0.02144199999999996	0.02144199999999996	True	True	LR endpoint retention	distinct-first	independent_discovery	exp_000000
2	exp_000002	expand	exp_000001	2	1.882475	1.884876	-0.0024010000000000975	0.0024010000000000975	True	True	weight-decay endpoint retention	distinct-first	new_mechanism_local_improvement	exp_000000+exp_000001
3	exp_000003	expand	exp_000001	2	1.883008	1.884876	-0.0018679999999999808	0.0018679999999999808	True	True	optimizer second-moment timescale	distinct-first	new_mechanism_local_improvement	exp_000000+exp_000001
4	exp_000004	merge	exp_000002+exp_000001	3	1.882379	1.882475	-9.599999999987396e-05	9.599999999987396e-05	True	True	LR endpoint retention	refinement/repeated-family	local_improvement_on_successful_lineage	exp_000000+exp_000001+exp_000002
5	exp_000005	expand	exp_000003	3	1.882365	1.883008	-0.0006429999999999492	0.0006429999999999492	True	True	gradient clipping	distinct-first	new_mechanism_local_improvement	exp_000000+exp_000001+exp_000003
6	exp_000006	expand	exp_000000	1	1.887758	1.906318	-0.01855999999999991	0.01855999999999991	True	True	RoPE frequency base	distinct-first	independent_discovery	exp_000000
7	exp_000007	merge	exp_000005+exp_000002	4	1.882918	1.882365	0.0005530000000000257	-0.0005530000000000257	True	False	weight-decay endpoint retention	refinement/repeated-family	inherited_success	exp_000000+exp_000001+exp_000002+exp_000003+exp_000005
8	exp_000008	expand	exp_000005	4	1.882919	1.882365	0.0005539999999999434	-0.0005539999999999434	True	False	MLP activation	distinct-first	inherited_success	exp_000000+exp_000001+exp_000003+exp_000005
9	exp_000009	merge	exp_000005+exp_000008	5	1.882882	1.882365	0.0005169999999998787	-0.0005169999999998787	True	False	MLP activation	refinement/repeated-family	inherited_success	exp_000000+exp_000001+exp_000003+exp_000005+exp_000008
10	exp_000010	merge	exp_000004+exp_000007	5	1.882484	1.882379	0.00010500000000002174	-0.00010500000000002174	True	False	gradient clipping	refinement/repeated-family	inherited_success	exp_000000+exp_000001+exp_000002+exp_000003+exp_000004+exp_000005+exp_000007
11	exp_000011	merge	exp_000006+exp_000008	5	1.885685	1.882919	0.002766000000000046	-0.002766000000000046	True	False	RoPE frequency base	refinement/repeated-family	inherited_success	exp_000000+exp_000001+exp_000003+exp_000005+exp_000006+exp_000008
12	exp_000012	expand	exp_000005	4	2.253061	1.882365	0.37069600000000014	-0.37069600000000014	False	False	LR warmup	distinct-first	not_beat_recorded_baseline	exp_000000+exp_000001+exp_000003+exp_000005
13	exp_000013	expand	exp_000010	6	1.904169	1.882484	0.021684999999999954	-0.021684999999999954	True	False	momentum ramp	distinct-first	inherited_success	exp_000000+exp_000001+exp_000002+exp_000003+exp_000004+exp_000005+exp_000007+exp_000010
14	exp_000014	merge	exp_000011+exp_000003	6	1.904961	1.883008	0.02195299999999989	-0.02195299999999989	True	False	positional-activation interaction	distinct-first	inherited_success	exp_000000+exp_000001+exp_000003+exp_000005+exp_000006+exp_000008+exp_000011
15	exp_000015	expand	exp_000007	5	1.8839	1.882918	0.0009819999999998164	-0.0009819999999998164	True	False	cosine LR warmdown	distinct-first	inherited_success	exp_000000+exp_000001+exp_000002+exp_000003+exp_000005+exp_000007
16	exp_000016	merge	exp_000008+exp_000015	6	1.885868	1.882919	0.0029490000000000904	-0.0029490000000000904	True	False	cosine LR warmdown	refinement/repeated-family	inherited_success	exp_000000+exp_000001+exp_000002+exp_000003+exp_000005+exp_000007+exp_000008+exp_000015
17	exp_000017	expand	exp_000008	5	1.979758	1.882919	0.0968389999999999	-0.0968389999999999	False	False	residual normalization	distinct-first	not_beat_recorded_baseline	exp_000000+exp_000001+exp_000003+exp_000005+exp_000008
18	exp_000019	expand	exp_000016	7	1.896442	1.885868	0.010573999999999861	-0.010573999999999861	True	False	attention-logit temperature	distinct-first	inherited_success	exp_000000+exp_000001+exp_000002+exp_000003+exp_000005+exp_000007+exp_000008+exp_000015+exp_000016
19	exp_000020	expand	exp_000015	6	1.88474	1.8839	0.0008400000000001739	-0.0008400000000001739	True	False	Muon gradient centralization	distinct-first	inherited_success	exp_000000+exp_000001+exp_000002+exp_000003+exp_000005+exp_000007+exp_000015
20	exp_000021	expand	exp_000016	7	1.886855	1.885868	0.0009869999999998491	-0.0009869999999998491	True	False	output-logit softcap	distinct-first	inherited_success	exp_000000+exp_000001+exp_000002+exp_000003+exp_000005+exp_000007+exp_000008+exp_000015+exp_000016
21	exp_000022	merge	exp_000010+exp_000021	8	1.884388	1.882484	0.0019039999999999058	-0.0019039999999999058	True	False	output-logit softcap	refinement/repeated-family	inherited_success	exp_000000+exp_000001+exp_000002+exp_000003+exp_000004+exp_000005+exp_000007+exp_000008+exp_000010+exp_000015+exp_000016+exp_000021
22	exp_000023	expand	exp_000020	7	1.885646	1.88474	0.0009059999999998514	-0.0009059999999998514	True	False	Muon orthogonalization depth	distinct-first	inherited_success	exp_000000+exp_000001+exp_000002+exp_000003+exp_000005+exp_000007+exp_000015+exp_000020
23	exp_000024	expand	exp_000002	3	1.881684	1.882475	-0.0007909999999999862	0.0007909999999999862	True	True	weight-decay schedule shape	distinct-first	new_mechanism_local_improvement	exp_000000+exp_000001+exp_000002
24	exp_000025	expand	exp_000009	6	1.900483	1.882882	0.017600999999999978	-0.017600999999999978	True	False	residual branch initialization	distinct-first	inherited_success	exp_000000+exp_000001+exp_000003+exp_000005+exp_000008+exp_000009
25	exp_000026	merge	exp_000009+exp_000016	7	1.893658	1.882882	0.010776000000000119	-0.010776000000000119	True	False	cosine LR warmdown	refinement/repeated-family	inherited_success	exp_000000+exp_000001+exp_000002+exp_000003+exp_000005+exp_000007+exp_000008+exp_000009+exp_000015+exp_000016
26	exp_000027	expand	exp_000003	3	1.881299	1.883008	-0.0017089999999999606	0.0017089999999999606	True	True	embedding bypass initialization	distinct-first	new_mechanism_local_improvement	exp_000000+exp_000001+exp_000003
27	exp_000028	expand	exp_000002	3	1.887335	1.882475	0.0048600000000000865	-0.0048600000000000865	True	False	value-embedding gate scaling	distinct-first	inherited_success	exp_000000+exp_000001+exp_000002
28	exp_000029	expand	exp_000027	4	1.869937	1.881299	-0.011362000000000094	0.011362000000000094	True	True	embedding bypass bounding	distinct-first	new_mechanism_local_improvement	exp_000000+exp_000001+exp_000003+exp_000027
29	exp_000030	merge	exp_000028+exp_000024	4	1.889553	1.881684	0.007869000000000126	-0.007869000000000126	True	False	value-embedding gate scaling	refinement/repeated-family	inherited_success	exp_000000+exp_000001+exp_000002+exp_000024+exp_000028
30	exp_000031	expand	exp_000028	4	1.898979	1.887335	0.011643999999999988	-0.011643999999999988	True	False	value-embedding normalization	distinct-first	inherited_success	exp_000000+exp_000001+exp_000002+exp_000028
